Date/Time,Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:0_0 [J](Monthly),Heating:EnergyTransfer:Zone:1_0 [J](Monthly),Heating:EnergyTransfer:Zone:2_0 [J](Monthly),Heating:EnergyTransfer:Zone:3_0 [J](Monthly),Heating:EnergyTransfer:Zone:4_0 [J](Monthly),Heating:EnergyTransfer:Zone:5_0 [J](Monthly),Heating:EnergyTransfer:Zone:6_0 [J](Monthly),Heating:EnergyTransfer:Zone:7_0 [J](Monthly),Heating:EnergyTransfer:Zone:8_0 [J](Monthly),Heating:EnergyTransfer:Zone:9_0 [J](Monthly),Heating:EnergyTransfer:Zone:10_0 [J](Monthly),Heating:EnergyTransfer:Zone:11_0 [J](Monthly),Heating:EnergyTransfer:Zone:12_0 [J](Monthly),Heating:EnergyTransfer:Zone:13_0 [J](Monthly),Heating:EnergyTransfer:Zone:14_0 [J](Monthly),Heating:EnergyTransfer:Zone:15_0 [J](Monthly),Heating:EnergyTransfer:Zone:16_0 [J](Monthly),Heating:EnergyTransfer:Zone:17_0 [J](Monthly),Heating:EnergyTransfer:Zone:18_0 [J](Monthly),Heating:EnergyTransfer:Zone:19_0 [J](Monthly),Heating:EnergyTransfer:Zone:20_0 [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:0_0 [J](Monthly),Cooling:EnergyTransfer:Zone:1_0 [J](Monthly),Cooling:EnergyTransfer:Zone:2_0 [J](Monthly),Cooling:EnergyTransfer:Zone:3_0 [J](Monthly),Cooling:EnergyTransfer:Zone:4_0 [J](Monthly),Cooling:EnergyTransfer:Zone:5_0 [J](Monthly),Cooling:EnergyTransfer:Zone:6_0 [J](Monthly),Cooling:EnergyTransfer:Zone:7_0 [J](Monthly),Cooling:EnergyTransfer:Zone:8_0 [J](Monthly),Cooling:EnergyTransfer:Zone:9_0 [J](Monthly),Cooling:EnergyTransfer:Zone:10_0 [J](Monthly),Cooling:EnergyTransfer:Zone:11_0 [J](Monthly),Cooling:EnergyTransfer:Zone:12_0 [J](Monthly),Cooling:EnergyTransfer:Zone:13_0 [J](Monthly),Cooling:EnergyTransfer:Zone:14_0 [J](Monthly),Cooling:EnergyTransfer:Zone:15_0 [J](Monthly),Cooling:EnergyTransfer:Zone:16_0 [J](Monthly),Cooling:EnergyTransfer:Zone:17_0 [J](Monthly),Cooling:EnergyTransfer:Zone:18_0 [J](Monthly),Cooling:EnergyTransfer:Zone:19_0 [J](Monthly),Cooling:EnergyTransfer:Zone:20_0 [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,35958521110.9191,2933957021.22797,331036703.345752,1195823155.30175,1507503132.29113,1466568550.4726,650615254.636391,398915763.111435,1506068544.12645,1925974188.66936,1879330595.50213,796638822.728009,580791718.213434,1846419484.14036,2364391050.47128,2315846319.14385,964483246.401057,2166039966.68648,2762704192.4252,3369833494.49783,3321047754.57112,1674532152.95559,36055608264.4385,15497495.2703957,0.0,0.0,11529215.304053,0.0,0.0,0.0,0.0,1126027.66690999,0.0,0.0,0.0,0.0,2151896.29776155,0.0,0.0,0.0,0.0,690356.001671112,0.0,0.0,0.0,15489974.3234973 
February,33244043889.5824,2639788564.14182,294476359.344372,1027524474.71714,1414959718.65405,1350374592.62832,559401026.214861,372453253.807299,1292941566.44708,1819380443.72384,1741293416.42807,695928811.638039,565796246.263131,1591116939.08153,2247084253.89952,2157780797.22241,856514933.186439,2225447706.60147,2461987972.09199,3238237989.91631,3141503927.94257,1550050895.63209,33331306043.4933,11641237.5216011,0.0,0.0,10004519.4014343,0.0,0.0,0.0,0.0,453523.445193329,0.0,0.0,0.0,0.0,1092355.12228989,0.0,0.0,0.0,0.0,90839.5526835335,0.0,0.0,0.0,11636449.5221253 
March,17287513116.493,1385758260.42002,166315837.017406,560621392.69316,784545064.535908,676267774.143076,290100026.551095,190384393.046202,659321410.099312,971155994.930061,829750274.984454,337950573.940923,289047513.168431,801944928.899193,1187497561.99121,1014357710.43891,408918305.125466,1072320659.41995,1335260100.06755,1847249651.4042,1631407837.35785,847337846.258612,17368845262.3871,210815043.221123,1994602.43232008,0.0,43444246.6434038,150380.762873841,8577403.245192,33406.2484687286,6666893.96683903,26341048.7333702,0.0,4406184.42786692,183325.662667272,31696344.8624474,40637714.1417708,0.0,6473684.45149498,320643.718583709,10893838.1400286,24479237.2360541,0.0,4516088.54774176,0.0,228410253.267793 
April,6896509575.89461,571056865.657177,73587322.7660801,238197331.073313,298548579.81333,269498125.627945,128963918.968958,81339034.9464253,271623875.20685,349204383.638121,308418855.224166,140880632.020868,119803361.010692,325657901.40307,422653373.412962,372565296.746001,168376215.67596,465640973.888043,559652446.058543,720285484.400359,644809255.4085,365746342.947246,6941567768.26359,2297895019.52285,138103318.323913,26185086.8170388,122021742.386724,50484733.5114417,97348413.895501,31083138.5863512,119372753.262179,153831198.271454,63773011.6830643,106014189.871371,46610498.0762637,270278021.624771,202494254.234001,79033478.6355714,133741371.7769,53977386.0484023,214756920.398609,179262752.494765,65921619.4005325,119751339.222066,23849791.0019286,2547523216.97838 
May,660917956.739401,49727232.383059,11315666.2223719,21082081.3580577,24609615.8413994,27749314.3577128,13781603.9919378,10759099.9137367,20425528.5996982,25664493.4970095,26552821.6259493,12283537.8419721,16810297.5575272,23932301.1820285,30952392.9873449,32318851.9335901,14757995.3588051,72282726.7028391,50425055.2758084,65522518.6887543,70278766.617863,39686054.8019363,670986026.235303,8189399853.57278,503719394.375461,106731539.490293,307817168.379855,233415916.676777,327224681.993507,115157951.45609,385464997.720672,418593904.365995,307085624.973914,403857020.133784,171526887.254579,813406895.664643,540107493.488981,380040876.744747,507199985.063064,207840813.91059,921033946.272304,524347350.515799,359687073.821163,501139031.642674,154001299.627884,8975225820.35889 
June,118503.434892038,38004.3942807621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80499.0406112762,0.0,119916.571877205,18686438540.7433,1181157696.91698,275783854.641521,590449374.386581,571431670.051792,713200716.707344,341015982.047922,765265785.936741,818929253.264377,772144956.978346,943871765.863057,488857795.276343,1457518749.87758,1039326898.51254,959317744.905273,1181522216.36836,600026749.111729,1991876170.60339,1113663439.93557,1016333559.51837,1272829995.04428,591914164.795224,20846010270.5407 
July,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26073633018.8233,1704870574.19258,382095388.394281,865142628.287851,814782209.97461,927870970.607874,519835881.747596,965694259.899305,1198326740.68024,1103434975.35289,1250599812.12674,723739124.599545,1791506674.68445,1518089971.45222,1372689877.79012,1565668925.55925,885528925.290182,2564559479.17419,1708087072.87316,1528789251.1691,1747541147.8652,934779127.101772,29492721296.2456 
August,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27793777385.5911,1863910364.66999,399710712.198698,1033365576.97332,801916345.277665,967603948.010638,611788266.712803,1009712755.96464,1414985602.51974,1083260987.72233,1294252224.14169,843946428.381118,1859144460.71224,1791523506.20565,1343009417.2746,1618007681.09826,1025961043.71369,2561328393.9123,1980026665.96135,1463349548.49041,1777716244.28782,1049257211.36212,30470025611.1515 
September,117905047.279784,10082952.4814181,452980.566127288,3531956.26106658,7551681.57712833,6019235.53731328,281807.315905704,73508.2536853294,2369827.45313725,6319531.20453495,4717184.52609301,31793.3616448626,391675.346729218,2853100.09955996,7842597.07286623,6018227.70836257,204989.324903505,6925028.16196569,9395040.64551444,22462805.7963897,18500297.7081366,1878826.87730135,119408578.847606,13251550176.8876,798995251.361236,187404268.734689,553726906.14643,311366449.66488,386887282.395977,307687225.064158,575551058.707872,749640634.52954,425430208.779036,517526019.644287,440998034.568427,1139026130.91457,955839350.405193,531217962.464698,651375546.658139,537807356.284952,1474593147.20162,994201265.805256,542181206.209702,671878303.096163,498216568.250782,14756928809.5855 
October,2564950623.25204,167474358.272923,24786949.7716233,56333917.2667784,137067363.930041,109487814.570938,18072273.7699177,28009154.2767176,55501397.909483,150974298.279807,120799651.495439,16708064.2147244,46627058.5410435,70916774.113136,189748411.60376,153996360.826376,23186042.5872406,235246595.218336,169912884.727364,382370207.293368,331588867.160842,76142177.4221829,2590826952.09443,4753385692.55722,246801340.749432,55083075.8531982,285387940.709091,71172700.5731263,102878378.316794,115763544.036652,249882225.061006,348273106.549025,94602385.3094761,129429098.838971,173781015.875149,554455348.873266,453137615.883783,119595235.127218,165955909.997465,209878328.240992,559686197.273296,415962878.910313,103333794.946667,148202802.332348,150122769.099953,5535499723.69993 
November,16425684361.6504,1332161499.11983,164969597.007425,502961776.541327,729301605.28725,708458899.273797,277216767.036707,180567931.138496,597664060.458535,900673694.266035,879114573.633065,323593329.478135,264407884.540674,722860502.836827,1093876297.63091,1073039971.3039,385502666.531099,999522796.488433,1194207990.00514,1679397088.94006,1657123439.44708,759061990.6857,16498398639.3083,190678518.669439,1012956.41429746,13760.40126086,33799864.4927883,0.0,37913.2607070035,985634.56834431,7391306.25034256,25500720.5921022,0.0,0.0,1843811.92233521,42608809.05212,37236123.8838601,0.0,0.0,2099415.58789954,17726164.926297,20422037.3170847,0.0,0.0,0.0,215311401.091204 
December,28781105747.2476,2342569074.56537,269336547.537365,922070548.875466,1249983056.68458,1214938418.17498,476962291.608961,313238081.262774,1131641390.68514,1584013401.14386,1543880041.4996,572215387.927901,460181710.682336,1382755723.43517,1940282434.40732,1899542360.56583,688067918.442971,1727665133.68536,2159303053.2804,2829447957.27501,2789704098.65122,1283307116.85599,28871125361.7907,18484710.5766538,0.0,0.0,13431589.768177,0.0,0.0,0.0,0.0,1451057.71711819,0.0,0.0,0.0,0.0,2389423.65092277,0.0,0.0,0.0,0.0,1212639.44043586,0.0,0.0,0.0,18474364.8120025 
